payment_id,customer_id,amount_inr,payment_method,failure_type,hour_of_day,minutes_since_failure,retry_count,previous_payments,previous_successes,previous_success_rate,recovered
PAY_00045,CUST_1740,2899.36,card,checkout_abandoned,16,1955,1,11,9,0.818,0
PAY_00046,CUST_2448,515.72,upi,checkout_abandoned,17,2101,2,4,4,1.0,0
PAY_00047,CUST_0287,2300.74,upi,insufficient_funds,15,1819,2,6,6,1.0,1
PAY_00048,CUST_1251,2446.71,card,insufficient_funds,21,1794,1,0,0,0.75,0
PAY_00049,CUST_1199,1837.16,wallet,checkout_abandoned,4,1634,0,11,6,0.545,1
PAY_00050,CUST_1768,1140.85,upi,card_declined,18,455,1,13,9,0.692,0
PAY_00051,CUST_1774,1346.73,card,card_declined,23,394,0,13,4,0.308,0
PAY_00052,CUST_2354,1078.98,card,card_declined,12,1640,0,4,2,0.5,0
PAY_00053,CUST_1213,720.17,upi,checkout_abandoned,12,610,2,1,1,1.0,1
PAY_00054,CUST_2312,5368.65,card,checkout_abandoned,22,2067,0,1,0,0.0,0
PAY_00055,CUST_2308,3646.03,netbanking,checkout_abandoned,3,1449,0,5,4,0.8,0
PAY_00056,CUST_2202,1433.1,card,checkout_abandoned,12,748,1,0,0,0.75,1
PAY_00057,CUST_0844,2385.79,card,network_timeout,12,1135,1,2,2,1.0,0
PAY_00058,CUST_2271,2458.49,card,network_timeout,5,755,1,9,7,0.778,0
PAY_00059,CUST_0320,11729.34,upi,card_declined,2,491,0,0,0,0.75,0
PAY_00060,CUST_1528,3617.71,wallet,card_declined,5,1032,2,9,9,1.0,0
PAY_00061,CUST_0297,3509.95,netbanking,checkout_abandoned,18,1289,0,13,13,1.0,1
PAY_00062,CUST_2169,1855.53,upi,network_timeout,15,1501,2,14,7,0.5,0
PAY_00063,CUST_1037,1271.56,netbanking,network_timeout,19,756,2,14,9,0.643,0
PAY_00064,CUST_1984,5440.96,card,checkout_abandoned,19,535,1,4,3,0.75,1
PAY_00065,CUST_1671,3033.16,upi,network_timeout,19,329,0,9,8,0.889,1
PAY_00066,CUST_2480,926.96,wallet,network_timeout,16,342,2,0,0,0.75,1
PAY_00067,CUST_0465,2587.99,card,network_timeout,1,1252,2,3,2,0.667,1
PAY_00068,CUST_2202,3517.31,wallet,insufficient_funds,2,619,1,11,3,0.273,0
PAY_00069,CUST_0502,336.59,card,card_declined,3,1327,0,3,2,0.667,0
PAY_00070,CUST_1345,860.6,card,insufficient_funds,11,1394,1,4,2,0.5,0
PAY_00071,CUST_0087,2406.08,upi,card_declined,2,1798,1,6,3,0.5,0
PAY_00072,CUST_0007,386.05,wallet,insufficient_funds,1,91,1,4,4,1.0,0
PAY_00073,CUST_1136,438.18,card,checkout_abandoned,15,1939,0,11,6,0.545,0
PAY_00074,CUST_2485,1449.79,netbanking,card_declined,22,2003,1,13,5,0.385,0
PAY_00075,CUST_0951,2667.18,card,card_declined,6,980,2,8,8,1.0,0
PAY_00076,CUST_1336,2767.69,upi,insufficient_funds,2,1204,1,8,5,0.625,0
PAY_00077,CUST_0990,6383.43,upi,insufficient_funds,3,1982,1,10,7,0.7,0
PAY_00078,CUST_2359,1922.44,card,checkout_abandoned,21,230,2,6,4,0.667,1
PAY_00079,CUST_0642,1335.98,upi,network_timeout,23,2077,2,6,5,0.833,0
PAY_00080,CUST_1056,632.48,upi,checkout_abandoned,8,1562,1,14,11,0.786,0
PAY_00081,CUST_0853,1323.24,upi,checkout_abandoned,11,1533,0,5,2,0.4,0
PAY_00082,CUST_1625,3170.25,card,insufficient_funds,14,620,0,3,2,0.667,0
PAY_00083,CUST_1286,3286.96,card,checkout_abandoned,11,2159,2,0,0,0.75,0
PAY_00084,CUST_2198,2224.39,wallet,card_declined,16,1656,1,0,0,0.75,0
PAY_00085,CUST_0180,2788.43,upi,card_declined,13,2034,1,11,6,0.545,0
PAY_00086,CUST_0390,4997.28,netbanking,card_declined,20,1901,2,3,1,0.333,0
PAY_00087,CUST_0857,1911.72,upi,checkout_abandoned,11,1442,1,11,6,0.545,1
PAY_00088,CUST_0913,5374.37,netbanking,network_timeout,17,1088,0,0,0,0.75,1
PAY_00089,CUST_1416,1006.49,card,card_declined,6,825,2,11,11,1.0,1
PAY_00090,CUST_2189,1697.5,upi,network_timeout,12,399,2,6,4,0.667,1
PAY_00091,CUST_2353,1225.22,upi,card_declined,16,88,0,12,6,0.5,0
PAY_00092,CUST_1241,3393.8,card,checkout_abandoned,6,1021,2,12,4,0.333,0
PAY_00093,CUST_1489,799.47,card,insufficient_funds,14,1278,1,8,3,0.375,0
PAY_00094,CUST_1647,1391.49,upi,insufficient_funds,4,1234,1,14,9,0.643,0
PAY_00095,CUST_1468,406.59,netbanking,insufficient_funds,20,1022,2,14,14,1.0,0
PAY_00096,CUST_1359,2895.88,upi,network_timeout,16,777,0,10,8,0.8,1
PAY_00097,CUST_2352,4880.36,card,insufficient_funds,9,881,2,7,6,0.857,0
PAY_00098,CUST_1171,3729.79,wallet,card_declined,9,1661,0,13,10,0.769,0
PAY_00099,CUST_1514,3448.33,card,card_declined,18,2015,2,14,12,0.857,0
PAY_00100,CUST_0897,3522.98,card,checkout_abandoned,17,587,0,6,4,0.667,1
PAY_00101,CUST_1060,3150.44,wallet,checkout_abandoned,23,1403,0,4,3,0.75,1
PAY_00102,CUST_2407,2942.63,netbanking,checkout_abandoned,18,1817,1,4,1,0.25,1
PAY_00103,CUST_0400,3098.5,wallet,insufficient_funds,9,868,1,14,7,0.5,0
PAY_00104,CUST_1812,1065.28,netbanking,checkout_abandoned,6,945,2,2,1,0.5,0
PAY_00105,CUST_0274,1533.62,upi,checkout_abandoned,16,1193,2,0,0,0.75,0
PAY_00106,CUST_2381,1904.05,card,checkout_abandoned,0,1267,2,7,2,0.286,0
PAY_00107,CUST_0146,1376.06,card,insufficient_funds,0,1985,1,14,9,0.643,0
PAY_00108,CUST_2156,514.14,wallet,insufficient_funds,11,121,0,4,2,0.5,0
PAY_00109,CUST_2247,670.17,netbanking,card_declined,21,1775,2,7,2,0.286,0
PAY_00110,CUST_0110,2163.59,card,checkout_abandoned,7,454,1,1,1,1.0,1
PAY_00111,CUST_2383,3715.11,card,network_timeout,17,791,1,12,11,0.917,1
PAY_00112,CUST_2166,1813.5,card,card_declined,2,947,1,13,9,0.692,0
PAY_00113,CUST_0694,16438.8,card,insufficient_funds,15,1094,2,9,8,0.889,0
PAY_00114,CUST_0223,862.41,netbanking,network_timeout,10,1596,1,1,1,1.0,1
PAY_00115,CUST_0170,2569.57,card,card_declined,2,361,2,1,1,1.0,0
PAY_00116,CUST_2353,5056.88,card,checkout_abandoned,9,2098,1,11,6,0.545,1
PAY_00117,CUST_2356,4222.08,wallet,checkout_abandoned,23,1800,2,1,1,1.0,0
PAY_00118,CUST_1300,3039.95,upi,checkout_abandoned,5,157,2,1,1,1.0,0
PAY_00119,CUST_2094,4237.57,upi,insufficient_funds,21,1214,2,13,6,0.462,0
PAY_00120,CUST_0752,1881.56,card,network_timeout,7,2023,1,7,2,0.286,1
PAY_00121,CUST_0125,6807.96,card,network_timeout,7,79,0,8,7,0.875,1
PAY_00122,CUST_1667,5024.44,card,network_timeout,1,666,0,10,3,0.3,0
PAY_00123,CUST_0660,910.29,card,card_declined,1,992,1,5,2,0.4,0
PAY_00124,CUST_2266,2328.07,card,insufficient_funds,23,2122,1,3,3,1.0,0
PAY_00125,CUST_2127,522.02,card,card_declined,9,1204,2,7,6,0.857,0
PAY_00126,CUST_2478,6081.3,card,network_timeout,17,97,0,1,1,1.0,1
PAY_00127,CUST_1430,2153.67,card,insufficient_funds,0,1372,1,4,2,0.5,0
PAY_00128,CUST_0558,5295.22,wallet,card_declined,4,1099,2,8,8,1.0,1
PAY_00129,CUST_1000,1649.22,card,card_declined,12,1277,2,14,14,1.0,0
PAY_00130,CUST_1855,407.7,card,network_timeout,13,1679,2,9,7,0.778,1
PAY_00131,CUST_2073,14845.26,netbanking,card_declined,17,208,2,11,6,0.545,0
PAY_00132,CUST_0537,1999.02,card,checkout_abandoned,15,757,0,4,3,0.75,1
PAY_00133,CUST_0052,808.66,upi,network_timeout,10,286,2,0,0,0.75,1
PAY_00134,CUST_0102,4501.44,netbanking,insufficient_funds,12,2103,1,5,5,1.0,0
PAY_00135,CUST_1127,9174.91,upi,network_timeout,20,2000,1,10,6,0.6,1
PAY_00136,CUST_0414,1530.87,card,card_declined,14,1997,2,0,0,0.75,0
PAY_00137,CUST_2367,1662.62,upi,checkout_abandoned,21,566,2,12,6,0.5,0
PAY_00138,CUST_1920,2177.6,upi,network_timeout,20,716,1,4,3,0.75,1
PAY_00139,CUST_1875,740.09,card,checkout_abandoned,23,1006,1,10,4,0.4,1
PAY_00140,CUST_0306,1035.88,card,card_declined,21,9,1,13,7,0.538,1
PAY_00141,CUST_0507,7488.19,card,network_timeout,12,1860,1,9,8,0.889,1
PAY_00142,CUST_1823,1619.34,netbanking,network_timeout,0,379,2,2,1,0.5,1
PAY_00143,CUST_2069,921.03,card,checkout_abandoned,13,1478,2,3,3,1.0,0
PAY_00144,CUST_2385,1253.77,card,network_timeout,12,71,0,7,6,0.857,1
PAY_00145,CUST_1228,4246.29,upi,network_timeout,22,290,2,14,11,0.786,1
PAY_00146,CUST_1837,370.49,wallet,insufficient_funds,10,1468,1,10,10,1.0,0
PAY_00147,CUST_0485,2206.72,card,insufficient_funds,18,129,1,9,7,0.778,1
PAY_00148,CUST_0672,12904.31,card,network_timeout,0,305,0,12,2,0.167,0
PAY_00149,CUST_1814,9139.78,card,insufficient_funds,4,443,1,2,1,0.5,1
PAY_00150,CUST_2196,2847.24,upi,card_declined,21,1036,0,1,1,1.0,0
PAY_00151,CUST_0286,5160.02,upi,checkout_abandoned,2,467,0,8,6,0.75,1
PAY_00152,CUST_1992,5120.48,netbanking,checkout_abandoned,23,405,2,8,6,0.75,0
PAY_00153,CUST_1758,1627.6,card,card_declined,13,407,0,3,3,1.0,0
PAY_00154,CUST_1509,3772.06,card,network_timeout,17,1872,2,9,5,0.556,0
PAY_00155,CUST_1974,7528.18,card,card_declined,20,1760,2,2,2,1.0,0
PAY_00156,CUST_2432,654.93,card,checkout_abandoned,6,636,1,2,0,0.0,0
PAY_00157,CUST_0511,2855.1,upi,insufficient_funds,9,1396,2,13,6,0.462,0
PAY_00158,CUST_0445,2403.6,netbanking,checkout_abandoned,1,1507,0,0,0,0.75,1
PAY_00159,CUST_2262,1954.86,card,checkout_abandoned,14,534,0,8,8,1.0,1
PAY_00160,CUST_0021,1821.2,upi,checkout_abandoned,6,1265,2,12,9,0.75,0
PAY_00161,CUST_1726,2166.52,card,card_declined,16,129,0,10,8,0.8,1
PAY_00162,CUST_0655,2316.93,upi,checkout_abandoned,14,811,0,6,2,0.333,0
PAY_00163,CUST_1043,4404.73,card,card_declined,8,1294,2,4,2,0.5,0
PAY_00164,CUST_0730,2635.3,upi,card_declined,6,1641,1,0,0,0.75,0
PAY_00165,CUST_1093,1561.25,card,network_timeout,9,804,0,1,1,1.0,0
PAY_00166,CUST_0430,919.29,wallet,insufficient_funds,17,248,0,8,3,0.375,0
PAY_00167,CUST_1263,1233.47,wallet,checkout_abandoned,0,1532,2,7,5,0.714,1
PAY_00168,CUST_1377,2218.25,netbanking,checkout_abandoned,23,1535,1,5,4,0.8,0
PAY_00169,CUST_0595,1023.19,netbanking,insufficient_funds,10,220,2,4,2,0.5,0
PAY_00170,CUST_0267,3836.22,card,checkout_abandoned,5,388,1,1,0,0.0,0
PAY_00171,CUST_0692,2539.15,upi,insufficient_funds,5,600,1,1,0,0.0,0
PAY_00172,CUST_1554,4493.4,card,network_timeout,23,177,1,4,2,0.5,1
PAY_00173,CUST_0114,1079.75,netbanking,insufficient_funds,13,1694,0,13,7,0.538,0
PAY_00174,CUST_0311,925.83,card,checkout_abandoned,11,2090,1,4,1,0.25,0
PAY_00175,CUST_1529,4466.62,card,card_declined,12,1819,2,1,0,0.0,0
PAY_00176,CUST_0989,1997.21,upi,card_declined,10,372,1,8,2,0.25,0
PAY_00177,CUST_0191,1530.77,card,insufficient_funds,5,583,2,1,0,0.0,0
PAY_00178,CUST_1161,3147.84,upi,checkout_abandoned,4,572,2,6,4,0.667,1
PAY_00179,CUST_2105,3055.51,card,checkout_abandoned,2,996,1,10,8,0.8,0
PAY_00180,CUST_0401,659.14,upi,checkout_abandoned,1,22,1,1,0,0.0,0
PAY_00181,CUST_1847,5449.39,netbanking,checkout_abandoned,15,484,0,13,10,0.769,1
PAY_00182,CUST_2414,1296.23,upi,checkout_abandoned,17,1462,2,9,8,0.889,0
PAY_00183,CUST_1357,7013.25,card,network_timeout,9,1424,0,13,6,0.462,1
PAY_00184,CUST_0243,619.37,card,insufficient_funds,16,1641,0,10,4,0.4,0
PAY_00185,CUST_2438,2320.32,card,checkout_abandoned,8,914,2,14,8,0.571,0
PAY_00186,CUST_0498,1551.6,card,checkout_abandoned,18,45,0,7,4,0.571,1
PAY_00187,CUST_1973,370.69,upi,insufficient_funds,19,2114,1,0,0,0.75,0
PAY_00188,CUST_0962,3047.6,card,card_declined,5,1117,0,0,0,0.75,0
PAY_00189,CUST_2141,386.21,card,checkout_abandoned,15,1969,2,2,1,0.5,0
PAY_00190,CUST_2044,1425.4,card,insufficient_funds,17,1831,0,1,1,1.0,0
PAY_00191,CUST_1070,4354.49,wallet,checkout_abandoned,14,266,0,12,4,0.333,0
PAY_00192,CUST_1363,1177.93,card,card_declined,15,1700,1,14,13,0.929,0
PAY_00193,CUST_0290,873.54,card,card_declined,4,1399,1,9,7,0.778,1
PAY_00194,CUST_0893,3414.64,upi,checkout_abandoned,9,1736,0,2,2,1.0,1
PAY_00195,CUST_2205,1474.28,card,card_declined,1,1520,0,14,9,0.643,0
PAY_00196,CUST_1186,1301.79,wallet,card_declined,4,148,0,4,3,0.75,1
PAY_00197,CUST_0748,4991.72,card,network_timeout,14,226,0,13,13,1.0,1
PAY_00198,CUST_2134,707.49,upi,checkout_abandoned,15,611,0,10,5,0.5,1
PAY_00199,CUST_1683,1246.2,upi,card_declined,9,441,0,6,5,0.833,0
PAY_00200,CUST_1101,3600.04,netbanking,insufficient_funds,21,1126,1,11,11,1.0,0
PAY_00201,CUST_0387,671.82,upi,checkout_abandoned,11,2143,2,9,9,1.0,0
PAY_00202,CUST_0585,7448.89,netbanking,checkout_abandoned,19,1103,2,13,6,0.462,0
PAY_00203,CUST_0977,1513.32,card,network_timeout,9,731,0,9,5,0.556,1
PAY_00204,CUST_0520,3623.38,upi,card_declined,23,1636,1,5,3,0.6,0
PAY_00205,CUST_0674,3617.33,upi,card_declined,21,1050,2,1,1,1.0,1
PAY_00206,CUST_2105,1593.54,upi,card_declined,3,1986,2,14,12,0.857,0
PAY_00207,CUST_1738,1227.01,upi,card_declined,22,935,1,11,5,0.455,0
PAY_00208,CUST_0625,1739.18,card,checkout_abandoned,15,1548,0,1,0,0.0,0
PAY_00209,CUST_1387,3183.35,card,card_declined,18,176,2,9,7,0.778,0
PAY_00210,CUST_1336,817.62,card,network_timeout,8,1040,1,12,11,0.917,0
PAY_00211,CUST_2155,687.41,card,checkout_abandoned,2,930,0,10,7,0.7,1
PAY_00212,CUST_1744,5901.16,card,network_timeout,8,1275,0,4,4,1.0,1
PAY_00213,CUST_1931,999.9,card,card_declined,4,1657,1,2,2,1.0,0
PAY_00214,CUST_0384,2389.43,upi,checkout_abandoned,8,9,2,14,5,0.357,0
PAY_00215,CUST_1063,1531.16,upi,checkout_abandoned,10,659,2,5,2,0.4,0
PAY_00216,CUST_0050,1586.44,upi,checkout_abandoned,15,973,0,13,7,0.538,1
PAY_00217,CUST_1700,5652.5,upi,card_declined,5,1400,2,6,3,0.5,0
PAY_00218,CUST_2474,1681.44,card,card_declined,18,246,2,11,5,0.455,0
PAY_00219,CUST_1716,1353.0,card,checkout_abandoned,3,1517,2,3,3,1.0,0
PAY_00220,CUST_2036,1450.65,upi,insufficient_funds,13,1580,2,9,1,0.111,0
PAY_00221,CUST_0300,1203.24,netbanking,insufficient_funds,20,1162,2,8,6,0.75,0
PAY_00222,CUST_2367,1053.07,upi,network_timeout,16,1687,1,3,2,0.667,1
PAY_00223,CUST_1837,1207.11,upi,checkout_abandoned,11,1111,1,10,5,0.5,0
PAY_00224,CUST_1417,6809.75,upi,checkout_abandoned,8,2159,1,6,5,0.833,0
PAY_00225,CUST_1004,3180.31,upi,insufficient_funds,15,110,2,9,5,0.556,0
PAY_00226,CUST_0561,1365.65,upi,checkout_abandoned,11,1000,1,0,0,0.75,0
PAY_00227,CUST_2175,3947.61,upi,card_declined,20,1561,2,1,1,1.0,0
PAY_00228,CUST_1306,505.62,card,network_timeout,3,188,0,10,6,0.6,1
PAY_00229,CUST_2401,5410.43,card,network_timeout,18,1442,1,14,14,1.0,1
PAY_00230,CUST_1906,5072.89,card,card_declined,1,300,2,1,0,0.0,0
PAY_00231,CUST_2152,10770.96,upi,card_declined,22,1299,0,0,0,0.75,1
PAY_00232,CUST_1495,4043.17,netbanking,insufficient_funds,10,1960,2,3,2,0.667,0
PAY_00233,CUST_1242,2553.78,card,checkout_abandoned,0,525,1,0,0,0.75,1
PAY_00234,CUST_1187,5056.62,card,network_timeout,23,423,0,3,2,0.667,1
PAY_00235,CUST_0162,1091.05,netbanking,checkout_abandoned,4,1322,0,10,10,1.0,1
PAY_00236,CUST_1397,1311.87,card,checkout_abandoned,22,784,0,11,4,0.364,1
PAY_00237,CUST_1078,1709.82,netbanking,network_timeout,17,1711,1,9,8,0.889,1
PAY_00238,CUST_0559,5381.1,card,checkout_abandoned,21,289,0,6,3,0.5,0
PAY_00239,CUST_1682,907.63,card,card_declined,15,1706,2,2,2,1.0,0
PAY_00240,CUST_0971,833.72,card,card_declined,8,1769,2,8,5,0.625,0
PAY_00241,CUST_0182,2174.97,card,checkout_abandoned,11,1618,0,14,11,0.786,0
PAY_00242,CUST_1134,3195.72,card,checkout_abandoned,17,651,1,3,3,1.0,0
PAY_00243,CUST_0631,1025.65,card,card_declined,11,1565,2,8,2,0.25,0
PAY_00244,CUST_1902,3077.51,card,network_timeout,22,804,1,5,5,1.0,1
PAY_00245,CUST_0721,5379.02,card,network_timeout,13,924,0,5,5,1.0,1
PAY_00246,CUST_1334,4702.79,netbanking,checkout_abandoned,1,1603,0,7,5,0.714,0
PAY_00247,CUST_2196,2387.92,card,network_timeout,1,2000,1,2,2,1.0,0
PAY_00248,CUST_1123,1674.15,card,insufficient_funds,10,1290,2,2,2,1.0,0
PAY_00249,CUST_1887,7215.89,card,insufficient_funds,0,2108,0,0,0,0.75,1
PAY_00250,CUST_2382,1822.32,wallet,insufficient_funds,8,1286,0,10,9,0.9,1
PAY_00251,CUST_0097,3819.31,netbanking,checkout_abandoned,6,1806,0,13,9,0.692,1
PAY_00252,CUST_0525,8622.82,wallet,checkout_abandoned,20,110,0,6,5,0.833,0
PAY_00253,CUST_1546,3511.35,wallet,network_timeout,21,427,2,9,9,1.0,1
PAY_00254,CUST_2025,810.68,card,card_declined,13,472,2,14,14,1.0,0
PAY_00255,CUST_0310,668.02,upi,card_declined,19,691,0,11,7,0.636,0
PAY_00256,CUST_0011,1418.62,card,checkout_abandoned,23,595,2,3,0,0.0,0
PAY_00257,CUST_1527,3175.25,netbanking,checkout_abandoned,22,1509,0,11,5,0.455,0
PAY_00258,CUST_0980,2569.25,card,card_declined,1,2149,1,5,4,0.8,1
PAY_00259,CUST_0138,10521.83,card,card_declined,10,375,1,14,7,0.5,0
PAY_00260,CUST_0484,2549.33,wallet,network_timeout,7,486,2,13,11,0.846,0
PAY_00261,CUST_2088,1385.18,netbanking,card_declined,6,2001,2,0,0,0.75,0
PAY_00262,CUST_1202,726.96,wallet,checkout_abandoned,13,806,0,13,6,0.462,1
PAY_00263,CUST_0965,4628.05,card,insufficient_funds,1,1509,1,3,2,0.667,0
PAY_00264,CUST_1232,1791.29,card,card_declined,5,416,0,7,4,0.571,0
PAY_00265,CUST_1666,539.49,card,checkout_abandoned,4,1943,0,11,9,0.818,1
PAY_00266,CUST_0977,1832.34,card,card_declined,23,1024,0,1,0,0.0,0
PAY_00267,CUST_0616,811.55,upi,insufficient_funds,22,1885,2,0,0,0.75,0
PAY_00268,CUST_0137,1280.53,card,card_declined,16,1,0,6,3,0.5,0
PAY_00269,CUST_2429,1808.94,netbanking,card_declined,10,1176,2,8,8,1.0,0
PAY_00270,CUST_0578,872.53,card,card_declined,14,1735,2,8,5,0.625,0
PAY_00271,CUST_2205,1218.58,upi,card_declined,15,308,2,14,10,0.714,1
PAY_00272,CUST_0653,992.52,netbanking,card_declined,3,1906,1,3,1,0.333,0
PAY_00273,CUST_1858,1014.05,upi,card_declined,4,1691,2,10,5,0.5,0
PAY_00274,CUST_1162,803.62,card,network_timeout,18,1059,1,2,1,0.5,1
PAY_00275,CUST_0659,1223.33,card,checkout_abandoned,22,1971,2,6,5,0.833,0
PAY_00276,CUST_1059,879.88,card,insufficient_funds,23,1825,2,7,5,0.714,0
PAY_00277,CUST_1684,2877.88,upi,insufficient_funds,6,389,1,6,4,0.667,0
PAY_00278,CUST_0505,2113.67,upi,network_timeout,19,11,0,2,1,0.5,1
PAY_00279,CUST_2220,4681.22,card,checkout_abandoned,16,520,0,2,1,0.5,1
PAY_00280,CUST_1521,8142.92,wallet,checkout_abandoned,13,945,0,13,12,0.923,1
PAY_00281,CUST_0651,3094.56,upi,card_declined,3,1476,1,14,12,0.857,0
PAY_00282,CUST_1174,2579.14,netbanking,card_declined,16,368,1,1,0,0.0,0
PAY_00283,CUST_1829,3254.56,card,card_declined,2,642,0,3,3,1.0,1
PAY_00284,CUST_0553,2614.46,wallet,card_declined,12,843,2,14,12,0.857,1
PAY_00285,CUST_1992,1873.76,card,network_timeout,8,1135,0,1,1,1.0,0
PAY_00286,CUST_0194,1758.26,card,insufficient_funds,0,912,1,8,8,1.0,0
PAY_00287,CUST_1912,794.89,netbanking,card_declined,8,928,1,4,3,0.75,1
PAY_00288,CUST_0307,3521.62,netbanking,insufficient_funds,20,1466,2,14,9,0.643,0
PAY_00289,CUST_1975,1755.49,upi,network_timeout,18,1440,0,11,9,0.818,0
PAY_00290,CUST_0176,5739.67,card,card_declined,5,1732,2,11,8,0.727,0
PAY_00291,CUST_1970,3743.03,card,checkout_abandoned,17,2058,2,0,0,0.75,0
PAY_00292,CUST_0108,1090.92,netbanking,card_declined,7,2034,2,2,1,0.5,0
PAY_00293,CUST_1265,4879.97,netbanking,checkout_abandoned,9,1852,2,11,8,0.727,0
PAY_00294,CUST_0242,232.05,card,card_declined,21,648,2,3,2,0.667,0
PAY_00295,CUST_0395,8431.44,card,checkout_abandoned,12,1462,1,6,3,0.5,0
PAY_00296,CUST_0850,616.95,upi,checkout_abandoned,17,1488,1,1,0,0.0,0
PAY_00297,CUST_2277,2674.8,upi,checkout_abandoned,23,1466,1,0,0,0.75,1
PAY_00298,CUST_1330,2533.8,card,checkout_abandoned,13,1809,2,10,9,0.9,1
PAY_00299,CUST_0540,4422.74,upi,checkout_abandoned,11,1684,0,2,1,0.5,1
PAY_00300,CUST_1181,1383.79,wallet,network_timeout,6,864,1,2,1,0.5,0
PAY_00301,CUST_0157,323.48,card,checkout_abandoned,14,479,0,12,4,0.333,0
PAY_00302,CUST_2254,1385.35,upi,card_declined,19,1211,1,10,3,0.3,1
PAY_00303,CUST_2076,1510.52,upi,network_timeout,22,1278,2,3,1,0.333,1
PAY_00304,CUST_2263,349.39,upi,network_timeout,12,1483,0,12,9,0.75,1
PAY_00305,CUST_0457,1866.54,netbanking,checkout_abandoned,6,119,2,14,1,0.071,1
