paymentId,customerId,amountInr,status,paymentMethod,failureType,hourOfDay,minutesSinceFailure,retryCount,previousPayments,previousSuccesses,previousSuccessRate,recovered
PAY_026,CUST_030,1500,successful,upi,none,22,0,0,13,4,0.31,1
PAY_027,CUST_035,250,failed,netbanking,network_timeout,10,450,0,18,15,0.83,1
PAY_028,CUST_012,500,failed,netbanking,insufficient_funds,2,121,2,2,0,0.0,1
PAY_029,CUST_006,3000,failed,netbanking,insufficient_funds,18,1190,2,8,6,0.75,1
PAY_030,CUST_016,1500,failed,upi,network_timeout,4,423,2,19,16,0.84,0
PAY_031,CUST_037,500,failed,card,card_declined,17,24,1,10,7,0.7,0
PAY_032,CUST_011,5000,failed,netbanking,network_timeout,22,145,0,7,4,0.57,1
PAY_033,CUST_034,250,successful,netbanking,none,17,0,0,10,9,0.9,1
PAY_034,CUST_036,750,failed,upi,insufficient_funds,9,546,0,10,10,1.0,0
PAY_035,CUST_014,1500,successful,netbanking,none,15,0,0,20,6,0.3,1
PAY_036,CUST_009,1500,failed,card,checkout_abandoned,23,571,0,9,0,0.0,1
PAY_037,CUST_035,250,failed,upi,card_declined,18,159,2,15,13,0.87,0
PAY_038,CUST_003,2000,failed,card,card_declined,21,636,1,18,4,0.22,0
PAY_039,CUST_016,750,failed,card,checkout_abandoned,13,1276,2,8,1,0.12,1
PAY_040,CUST_022,3000,successful,netbanking,none,23,0,0,1,0,0.0,1
PAY_041,CUST_015,1000,failed,upi,card_declined,11,788,0,8,4,0.5,0
PAY_042,CUST_005,1500,failed,upi,insufficient_funds,20,821,1,10,3,0.3,0
PAY_043,CUST_017,750,failed,netbanking,network_timeout,8,61,0,17,12,0.71,0
PAY_044,CUST_033,500,failed,upi,network_timeout,18,647,1,2,0,0.0,0
PAY_045,CUST_035,1000,failed,upi,checkout_abandoned,13,8,2,7,4,0.57,0
PAY_046,CUST_027,2000,failed,upi,card_declined,22,620,2,3,2,0.67,0
PAY_047,CUST_012,1500,failed,upi,checkout_abandoned,17,1366,1,10,8,0.8,0
PAY_048,CUST_030,5000,failed,upi,checkout_abandoned,21,1192,2,1,1,1.0,1
PAY_049,CUST_011,500,successful,upi,none,16,0,0,7,7,1.0,1
PAY_050,CUST_013,750,failed,card,insufficient_funds,1,1382,1,20,10,0.5,1
PAY_051,CUST_037,1000,failed,netbanking,card_declined,22,937,1,8,7,0.88,0
PAY_052,CUST_007,3000,failed,card,insufficient_funds,5,1348,2,13,7,0.54,1
PAY_053,CUST_030,2000,failed,upi,insufficient_funds,19,253,1,17,14,0.82,1
PAY_054,CUST_036,5000,successful,card,none,23,0,0,17,13,0.76,1
PAY_055,CUST_034,5000,failed,netbanking,insufficient_funds,7,1310,1,16,14,0.88,0
PAY_056,CUST_035,500,failed,card,network_timeout,4,485,1,9,7,0.78,1
PAY_057,CUST_035,5000,failed,upi,insufficient_funds,1,136,1,8,6,0.75,1
PAY_058,CUST_023,1500,failed,upi,card_declined,13,1184,1,7,6,0.86,0
PAY_059,CUST_015,5000,successful,card,none,8,0,0,18,17,0.94,1
PAY_060,CUST_011,5000,failed,card,network_timeout,19,1374,2,14,7,0.5,0
PAY_061,CUST_038,250,successful,card,none,20,0,0,18,0,0.0,1
PAY_062,CUST_012,250,successful,upi,none,12,0,0,14,2,0.14,1
PAY_063,CUST_027,1500,failed,card,network_timeout,15,781,1,11,3,0.27,0
PAY_064,CUST_023,1000,successful,netbanking,none,2,0,0,1,0,0.0,1
PAY_065,CUST_013,250,successful,netbanking,none,4,0,0,2,0,0.0,1
PAY_066,CUST_017,2000,failed,card,card_declined,19,1160,0,8,2,0.25,0
PAY_067,CUST_011,1500,successful,card,none,18,0,0,20,3,0.15,1
PAY_068,CUST_038,1000,failed,card,checkout_abandoned,22,817,2,1,1,1.0,1
PAY_069,CUST_028,2000,failed,card,card_declined,16,1164,0,10,10,1.0,1
PAY_070,CUST_032,500,successful,upi,none,11,0,0,11,0,0.0,1
PAY_071,CUST_030,3000,failed,netbanking,network_timeout,18,1266,2,15,4,0.27,0
PAY_072,CUST_006,1500,successful,upi,none,7,0,0,9,5,0.56,1
PAY_073,CUST_023,1500,failed,upi,checkout_abandoned,8,670,0,15,12,0.8,1
PAY_074,CUST_032,1000,failed,netbanking,insufficient_funds,15,180,0,20,8,0.4,0
PAY_075,CUST_006,1500,successful,card,none,12,0,0,16,14,0.88,1
PAY_076,CUST_028,2000,failed,upi,network_timeout,22,974,2,8,4,0.5,0
PAY_077,CUST_008,750,failed,card,insufficient_funds,6,252,2,15,8,0.53,1
PAY_078,CUST_034,1500,successful,card,none,6,0,0,16,8,0.5,1
PAY_079,CUST_018,250,failed,card,network_timeout,17,33,2,10,3,0.3,1
PAY_080,CUST_031,5000,failed,upi,checkout_abandoned,10,215,0,10,2,0.2,1
PAY_081,CUST_005,250,failed,card,checkout_abandoned,4,238,0,6,0,0.0,1
PAY_082,CUST_039,1000,failed,netbanking,insufficient_funds,12,247,2,19,9,0.47,0
PAY_083,CUST_040,500,failed,card,checkout_abandoned,20,630,2,15,14,0.93,1
PAY_084,CUST_011,250,failed,upi,insufficient_funds,14,496,0,7,4,0.57,0
PAY_085,CUST_030,500,failed,netbanking,insufficient_funds,7,595,2,20,15,0.75,1
PAY_086,CUST_010,1500,failed,card,insufficient_funds,2,875,0,9,9,1.0,1
PAY_087,CUST_039,1500,successful,upi,none,3,0,0,2,0,0.0,1
PAY_088,CUST_006,250,failed,upi,network_timeout,23,1029,2,15,9,0.6,1
PAY_089,CUST_037,250,failed,netbanking,card_declined,8,473,2,11,9,0.82,0
PAY_090,CUST_012,5000,successful,netbanking,none,20,0,0,19,1,0.05,1
PAY_091,CUST_031,2000,failed,upi,checkout_abandoned,10,1305,1,15,8,0.53,0
PAY_092,CUST_019,3000,failed,netbanking,insufficient_funds,1,680,1,11,10,0.91,0
PAY_093,CUST_001,5000,failed,upi,network_timeout,1,242,1,15,2,0.13,0
PAY_094,CUST_014,1500,failed,netbanking,checkout_abandoned,4,1285,1,7,5,0.71,0
PAY_095,CUST_032,500,successful,card,none,20,0,0,10,7,0.7,1
PAY_096,CUST_020,250,successful,netbanking,none,13,0,0,20,7,0.35,1
PAY_097,CUST_008,5000,successful,card,none,20,0,0,3,1,0.33,1
PAY_098,CUST_019,1500,successful,upi,none,15,0,0,5,3,0.6,1
PAY_099,CUST_033,750,failed,card,insufficient_funds,8,790,0,16,7,0.44,0
PAY_100,CUST_033,1500,successful,card,none,9,0,0,14,5,0.36,1
